Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Upsell Discount (product.metafields.app--34646425601--orderediting.editing_sales_channel_discount_percentage),The order of the upsell products. (product.metafields.app--34646425601--orderediting.product_sorting_index),Activity (product.metafields.custom.activity),Bundle Products (product.metafields.custom.bundle_products),Category Metafield Colour (product.metafields.custom.category_metafield_colour),Hot spots  (product.metafields.custom.hot_spots),Outlet (product.metafields.custom.outlet),Parent product for bundle (product.metafields.custom.parent_product_for_bundle),Products Size Chart (product.metafields.custom.products_size_chart),Product Swatch Image (product.metafields.custom.product_swatch_image),Sibling (product.metafields.custom.sibling),Variation products (product.metafields.custom.variation_products),Variation value (Colour) (product.metafields.custom.variation_value),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / MIddle East,Price / MIddle East,Compare At Price / MIddle East,Included / Switzerland,Price / Switzerland,Compare At Price / Switzerland,Included / United States,Price / United States,Compare At Price / United States,Status
horizon-tracksuit-lunar-grey-graphite-grey,Horizon 2.0 Tracksuit - Lunar Grey/Graphite Grey,"<p data-start=""289"" data-end=""606"">The Trailberg Horizon 2.0 Tracksuit delivers breathable performance and adaptable comfort in a streamlined hood and pant set. Designed for active outdoor use, it combines functional ventilation, adjustable features and a lightweight build to support movement across training, hiking and everyday performance wear.</p>
<p data-start=""608"" data-end=""1047"">The Horizon 2.0 Hood features back ventilation for improved airflow, an adjustable bungee hood and hem for a secure fit, and zip pockets to keep essentials protected. Paired with the Horizon 2.0 Pant, which includes back-of-knee vents, an elasticated waistband and adjustable zip hems, the set offers comfort and control across varied conditions. Reflective print detailing across both pieces enhances visibility in low-light environments.</p>
<h4 data-start=""1049"" data-end=""1066"">Key Features</h4>
<ul>
<li data-start=""1069"" data-end=""1135"">Lightweight performance hood and pant set for active outdoor use</li>
<li data-start=""1138"" data-end=""1219"">Ventilation panels on the hood and back of the knees for improved breathability</li>
<li data-start=""1222"" data-end=""1277"">Adjustable bungee hood and hem for a personalised fit</li>
<li data-start=""1280"" data-end=""1331"">Elasticated waistband for comfort and secure wear</li>
<li data-start=""1334"" data-end=""1405"">Zip hem detailing on the pants for adjustability and ease of movement</li>
<li data-start=""1408"" data-end=""1452"">Secure zip pockets for everyday essentials</li>
<li data-start=""1455"" data-end=""1508"">Reflective print detailing for increased visibility</li>
</ul>
<p data-start=""1510"" data-end=""1595"">Ideal for: hiking, outdoor training, active travel and everyday performance wear.</p>
<p data-start=""1510"" data-end=""1595"">This tracksuit comprises of the Horizon 2.0 Hood and Horizon 2.0 Pant</p>",Trailberg,Apparel & Accessories > Clothing > Outfit Sets,TRACKSUITS,"2026Q1, BESTSELLER, bikers, Biking and Running, BUNDLE, BUNDLES, Hikers, NEW IN, New In Test, Nosto New In Test, Outdoor, Runners, RUNNING, SET, SETS, test bundles, Winter Sports",true,Size,XS,,,,,,,,HORIZON-2-TRK-GREY-XS,800.0,shopify,deny,manual,145.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267619_7fc8c399-7a80-4527-87eb-779ef2405735.jpg?v=1769616235,1,"",false,,,,,,horizon-2-hood-grey-lime; horizon-pant-lunar-grey,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/STORM_GREY.png?v=1753958946,horizon-tracksuit-black-1; horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,grey,,,,,,horizon-2-hood-grey-lime; horizon-pant-lunar-grey,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,S,,,,,,,,HORIZON-2-TRK-GREY-S,800.0,shopify,deny,manual,145.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267636_8b516a56-c588-4be6-9991-fad1a631627b.jpg?v=1769616236,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,M,,,,,,,,HORIZON-2-TRK-GREY-M,800.0,shopify,deny,manual,145.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267623_cdfa215b-ad4a-40ad-8079-7b81cb9e9bec.jpg?v=1769616236,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,L,,,,,,,,HORIZON-2-TRK-GREY-L,800.0,shopify,deny,manual,145.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267624_10568a8f-1886-4e10-9c31-fa3b9ce749f1.jpg?v=1769616237,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,XL,,,,,,,,HORIZON-2-TRK-GREY-XL,800.0,shopify,deny,manual,145.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267625_380eb510-c081-4b13-8f56-32a5c1591763.jpg?v=1769616237,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,XXL,,,,,,,,HORIZON-2-TRK-GREY-XXL,800.0,shopify,deny,manual,145.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267626_579c0624-c00c-40aa-a295-52538485c922.jpg?v=1769616238,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267627_2f911230-7902-40d3-9d40-a4b571cb6117.jpg?v=1769616236,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267632_88cafb23-5bc2-4f9c-9e6b-00ceec664513.jpg?v=1769616236,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267633_752d624f-93a3-4d3e-9845-1434b578c09a.jpg?v=1769616236,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon-tracksuit-lunar-grey-graphite-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267634_bd68dbcf-637e-4188-aeb9-00719ccfb8f4.jpg?v=1769616236,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
